network,station,lat,lon,s_depth,e_depth,clay,sand,slit,EASE_row,EASE_column
SCAN,Bosque_Seco,17.967,-66.867,5,5,0.55,0.16,0.2899999999999999,140,302
SCAN,Combate,17.983,-67.167,5,5,0.41,0.37,0.22,140,302
SCAN,Isabela,18.467,-67.05,5,5,0.72,0.21,0.07,138,302
SCAN,Kainaliu,19.533,-155.933,5,5,0.2,0.31,0.49,135,64
SCAN,Kemole_Gulch,19.917,-155.583,5,5,0.2,0.31,0.49,133,65
SCAN,Kukuihaele,20.1,-155.517,5,5,0.2,0.31,0.49,133,65
SCAN,Mana_House,19.95,-155.533,5,5,0.2,0.31,0.49,133,65
SCAN,Maricao_Forest,18.15,-67.0,5,5,0.64,0.07,0.29,139,302
SCAN,Silver_Sword,19.767,-155.417,5,5,0.2,0.31,0.49,134,65
SCAN,Waimea_Plain,20.017,-155.6,5,5,0.2,0.31,0.49,133,65
TAHMO,CRIG_(Soil_Moisture_Station_1),6.23025,-0.34655,5,5,0.24,0.49,0.27,180,481
TAHMO,CRIG_(Soil_Moisture_Station_2),6.22984,-0.34698,5,5,0.24,0.49,0.27,180,481
TAHMO,"CSIR-SARI,_Nyankpala_-_Tamale",9.40083,-1.00191,5,5,0.1,0.79,0.1099999999999999,169,479
TAHMO,"KNUST_Farm,_Kumasi",6.69099,-1.51909,5,5,0.23,0.43,0.34,179,477
